split,subject,protocol,tau,gated,coverage,selective_risk,n_windows
within/s02/d04_t01,s02,within-session,0.6,True,0.9914285714285714,0.04300598536909776,4550
within/s02/d04_t01,s02,within-session,0.65,True,0.9832967032967033,0.04000894054537327,4550
within/s02/d04_t01,s02,within-session,0.7,True,0.9738461538461538,0.037011961182577297,4550
within/s02/d04_t01,s02,within-session,0.75,True,0.9657142857142857,0.03573054164770141,4550
within/s02/d04_t01,s02,within-session,0.8,True,0.9553846153846154,0.031976075454336325,4550
within/s02/d04_t01,s02,within-session,0.85,True,0.9393406593406594,0.029480580252690687,4550
within/s02/d04_t01,s02,within-session,0.9,True,0.9151648351648352,0.026657060518731988,4550
within/s02/d04_t01,s02,within-session,0.95,True,0.8602197802197802,0.02222789984670414,4550
within/s02/d04_t01,s02,within-session,0.99,True,0.6742857142857143,0.009452411994784877,4550
within/s02/d04_t02,s02,within-session,0.5,False,1.0,0.03293545534924845,4524
within/s02/d04_t02,s02,within-session,0.55,True,0.9904951370468612,0.02767239455478688,4524
within/s02/d04_t02,s02,within-session,0.6,True,0.981211317418214,0.02387925208380266,4524
within/s02/d04_t02,s02,within-session,0.65,True,0.9699381078691424,0.021194165907019145,4524
within/s02/d04_t02,s02,within-session,0.7,True,0.9568965517241379,0.018018018018018018,4524
within/s02/d04_t02,s02,within-session,0.75,True,0.9438549955791335,0.014285714285714285,4524
within/s02/d04_t02,s02,within-session,0.8,True,0.9202033598585323,0.011289935142925775,4524
within/s02/d04_t02,s02,within-session,0.85,True,0.8932360742705571,0.0076713684731502104,4524
within/s02/d04_t02,s02,within-session,0.9,True,0.8477011494252874,0.003650586701434159,4524
within/s02/d04_t02,s02,within-session,0.95,True,0.7723253757736517,0.002003434459072696,4524
within/s02/d04_t02,s02,within-session,0.99,True,0.5709549071618037,0.0,4524
within/s02/d05_t01,s02,within-session,0.5,False,1.0,0.053441829777875524,4547
within/s02/d05_t01,s02,within-session,0.55,True,0.990103364855949,0.04842292314526877,4547
within/s02/d05_t01,s02,within-session,0.6,True,0.9760281504288542,0.043262730959891846,4547
within/s02/d05_t01,s02,within-session,0.65,True,0.9582142071695624,0.03832912554509984,4547
within/s02/d05_t01,s02,within-session,0.7,True,0.9408401143611173,0.03389434315100514,4547
within/s02/d05_t01,s02,within-session,0.75,True,0.9210468440730152,0.02889207258834766,4547
within/s02/d05_t01,s02,within-session,0.8,True,0.8933362656696723,0.0241260462826194,4547
within/s02/d05_t01,s02,within-session,0.85,True,0.8665053881680229,0.019289340101522844,4547
within/s02/d05_t01,s02,within-session,0.9,True,0.8044864745986364,0.013395297977036633,4547
within/s02/d05_t01,s02,within-session,0.95,True,0.699142291620849,0.008493236866939289,4547
within/s02/d05_t01,s02,within-session,0.99,True,0.4290741148009677,0.0010251153254741158,4547
within/s02/d05_t02,s02,within-session,0.5,False,1.0,0.06828729281767956,4525
within/s02/d05_t02,s02,within-session,0.55,True,0.9878453038674033,0.06442953020134229,4525
within/s02/d05_t02,s02,within-session,0.6,True,0.976353591160221,0.058397464916251696,4525
within/s02/d05_t02,s02,within-session,0.65,True,0.9650828729281768,0.05335470574765285,4525
within/s02/d05_t02,s02,within-session,0.7,True,0.9487292817679558,0.048683904029815976,4525
within/s02/d05_t02,s02,within-session,0.75,True,0.9359116022099447,0.043919716646989376,4525
within/s02/d05_t02,s02,within-session,0.8,True,0.9155801104972375,0.03958484190200338,4525
within/s02/d05_t02,s02,within-session,0.85,True,0.8956906077348066,0.03626943005181347,4525
within/s02/d05_t02,s02,within-session,0.9,True,0.8643093922651933,0.028637177192533878,4525
within/s02/d05_t02,s02,within-session,0.95,True,0.8114917127071823,0.02287581699346405,4525
within/s02/d05_t02,s02,within-session,0.99,True,0.6592265193370166,0.0077103586992960105,4525
cross-session/s01/d01_t02,s01,cross-session,0.5,False,1.0,0.08663837260354164,13666
cross-session/s01/d01_t02,s01,cross-session,0.55,True,0.977023269427777,0.07766626722588377,13666
cross-session/s01/d01_t02,s01,cross-session,0.6,True,0.9497292550856139,0.06741659603975653,13666
cross-session/s01/d01_t02,s01,cross-session,0.65,True,0.9222157178398946,0.05919225581210823,13666
cross-session/s01/d01_t02,s01,cross-session,0.7,True,0.8908971169325333,0.04936344969199179,13666
cross-session/s01/d01_t02,s01,cross-session,0.75,True,0.8577491584955363,0.042057669339703126,13666
cross-session/s01/d01_t02,s01,cross-session,0.8,True,0.8188204302648909,0.03458445040214477,13666
cross-session/s01/d01_t02,s01,cross-session,0.85,True,0.7721352261085906,0.025966641394996208,13666
cross-session/s01/d01_t02,s01,cross-session,0.9,True,0.7010829796575443,0.018160943534077864,13666
cross-session/s01/d01_t02,s01,cross-session,0.95,True,0.5875896385189522,0.010585305105853052,13666
cross-session/s01/d01_t02,s01,cross-session,0.99,True,0.33989462900629297,0.00193756727664155,13666
cross-session/s01/d02_t01,s01,cross-session,0.5,False,1.0,0.06759238850929396,13611
cross-session/s01/d02_t01,s01,cross-session,0.55,True,0.9811916831974139,0.06027704979408461,13611
cross-session/s01/d02_t01,s01,cross-session,0.6,True,0.9597384468444641,0.05243818418433744,13611
cross-session/s01/d02_t01,s01,cross-session,0.65,True,0.9380648005289839,0.044799498746867165,13611
cross-session/s01/d02_t01,s01,cross-session,0.7,True,0.909338035412534,0.03805445584551992,13611
cross-session/s01/d02_t01,s01,cross-session,0.75,True,0.8802439203585335,0.0318838160420666,13611
cross-session/s01/d02_t01,s01,cross-session,0.8,True,0.8436558665785027,0.025515980144561527,13611
cross-session/s01/d02_t01,s01,cross-session,0.85,True,0.7957534347219161,0.01837318807127689,13611
